agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,139,139STLUP,139STLUP,Rani Khera Depot 1 to Bhalswa JJ Colony,3
DIMTS,140,139UP,139UP,Shivaji Stadium Terminal ( Connaught Place ) to Bhalswa JJ Colony,3
DIMTS,141,140DOWN,140DOWN,Shahbad Dairy to Mori Gate Terminal,3
DIMTS,142,140UP,140UP,Mori Gate Terminal to Shahbad Dairy,3
DIMTS,3119,141ADOWN,141ADOWN,Rohini Sec 23 Pocket 1 (Green Hill Aptt.) to Inderlok Metro Station,3
DIMTS,3120,141AUP,141AUP,Inderlok Metro Station to Rohini Sec 23 Pocket 1 (Green Hill Aptt.),3
DIMTS,143,141DOWN,141DOWN,Rohini Sec 23 Pocket 1 (Green Hill Aptt.) to Old Delhi Railway Station (T),3
DIMTS,148,141UP,141UP,Old Delhi Railway Station (T) to Rohini Sec 23 Pocket 1 (Green Hill Aptt.),3
DIMTS,3121,143ADOWN,143ADOWN,Burari Crossing to ISBT Anand Vihar Terminal,3
DIMTS,3122,143AUP,143AUP,ISBT Anand Vihar to Burari Crossing,3
DIMTS,149,143DOWN,143DOWN,Keshav Nagar Mukti Ashram to ISBT Anand Vihar Terminal,3
DIMTS,150,143LINKSTLDOWN,143LINKSTLDOWN,E Block Jahangir Puri Terminal to Burari EV Depot (Inshed),3
DIMTS,151,143LINKSTLUP,143LINKSTLUP,Burari EV Depot (Outshed) to Jahangirpuri EBlock,3
DIMTS,152,143LSTLDOWN,143LSTLDOWN,Azadpur Metro Station to Burari EV Depot (Inshed),3
DIMTS,153,143LSTLUP,143LSTLUP,Burari EV Depot (Outshed) to Azadpur Metro Station,3
DIMTS,2743,143STLUP,143STLUP,Burari EV Depot (Outshed) to Azadpur Metro Station / Terminal,3
DIMTS,154,143UP,143UP,Anand Vihar ISBT to Keshav Nagar Mukti Ashram,3
DIMTS,158,144STLDOWN,144STLDOWN,Singhu School (T) to Bawana Sec 1 Depot Bus Stop,3
DIMTS,159,144STLUP,144STLUP,Bawana Sec 1 Cluster Depot to Singhu School (T),3
DIMTS,161,147DOWN,147DOWN,Tiggi Pur Village to Old Delhi Railway Station (T),3
DIMTS,162,147LSTLDOWN,147LSTLDOWN,Tiggi Pur Village to Bawana Sec 1 Depot Bus Stop,3
DIMTS,163,147LSTLUP,147LSTLUP,Bawana Sec 1 Cluster Depot to Tiggi Pur Village,3
DIMTS,164,147STLDOWN,147STLDOWN,Tiggi Pur Village to Rani Khera Depot 2,3
DIMTS,165,147STLUP,147STLUP,Rani Khera Depot 2 to Tiggi Pur Village,3
DIMTS,166,147UP,147UP,Old Delhi Railway Station (T) to Tiggi Pur Village,3
DIMTS,167,148ADOWN,148ADOWN,Tikri Khurd to GTK Depot,3
DIMTS,168,148AUP,148AUP,GTK Depot to Tikri Khurd,3
DIMTS,170,148STLDOWN,148STLDOWN,Tikri Khurd to Bawana Sec 1 Depot Bus Stop,3
DIMTS,171,148STLUP,148STLUP,Bawana Sec 1 Cluster Depot to Tikri Khurd,3
DIMTS,173,149BDOWN,149BDOWN,Alipur Village GT Road to Old Delhi Railway Station (T),3
DIMTS,174,149BUP,149BUP,Old Delhi Railway Station (T) to Alipur Village GT Road,3
DIMTS,177,153DOWN,153DOWN,Shani Mandir Shiv Vihar / Hastsal JJ Colony to Mukherji Nagar Baandh,3
